x_mm,radius_mm,z_mm
0.0,60.0,0.0
0.23594251073635886,59.71881466518423,0.0
0.47188502147272465,59.43762933036847,0.0
0.7078275322090835,59.15644399555273,0.0
0.9437700429454493,58.87525866073697,0.0
1.1797125536818083,58.594073325921215,0.0
1.415655064418174,58.312887991105455,0.0
1.6515975751545329,58.031702656289696,0.0
1.8875400858908917,57.75051732147394,0.0
2.1234825966272575,57.46933198665818,0.0
2.3594251073636165,57.18814665184242,0.0
2.5953676180999823,56.90696131702666,0.0
2.831310128836341,56.62577598221091,0.0
3.0672526395727067,56.34459064739515,0.0
3.3031951503090657,56.06340531257939,0.0
3.5391376610454244,55.78221997776364,0.0
3.77508017178179,55.50103464294788,0.0
4.011022682518149,55.21984930813213,0.0
4.246965193254515,54.93866397331637,0.0
4.482907703990874,54.657478638500606,0.0
4.718850214727233,54.37629330368486,0.0
4.954792725463599,54.0951079688691,0.0
5.1907352361999575,53.81392263405334,0.0
5.426677746936323,53.532737299237574,0.0
5.662620257672682,53.25155196442183,0.0
5.8985627684090405,52.97036662960607,0.0
6.134505279145406,52.6891812947903,0.0
6.370447789881766,52.407995959974556,0.0
6.6063903006181315,52.1268106251588,0.0
6.84233281135449,51.84562529034305,0.0
7.078275322090856,51.564439955527284,0.0
7.3142178328272145,51.283254620711524,0.0
7.55016034356358,51.002069285895764,0.0
7.78610285429994,50.72088395108001,0.0
8.022045365036298,50.43969861626425,0.0
8.257987875772663,50.15851328144849,0.0
8.493930386509023,49.87732794663275,0.0
8.72987289724539,49.59614261181698,0.0
8.965815407981747,49.31495727700122,0.0
9.201757918718107,49.033771942185474,0.0
9.437700429454472,48.75258660736971,0.0
9.673642940190831,48.47140127255396,0.0
9.909585450927198,48.19021593773819,0.0
10.145527961663555,47.90903060292244,0.0
10.381470472399915,47.62784526810669,0.0
10.61741298313628,47.34665993329093,0.0
10.853355493872646,47.06547459847517,0.0
11.089298004609006,46.7842892636594,0.0
11.325240515345364,46.50310392884366,0.0
11.56118302608173,46.2219185940279,0.0
11.797125536818088,45.94073325921214,0.0
12.033068047554455,45.65954792439637,0.0
12.269010558290812,45.378362589580625,0.0
12.504953069027172,45.097177254764865,0.0
12.740895579763539,44.815991919949106,0.0
12.976838090499896,44.53480658513335,0.0
13.212780601236263,44.25362125031759,0.0
13.44872311197262,43.97243591550185,0.0
13.68466562270898,43.69125058068608,0.0
13.920608133445347,43.41006524587032,0.0
14.156550644181705,43.128879911054575,0.0
14.392493154918071,42.847694576238816,0.0
14.628435665654429,42.56650924142305,0.0
14.864378176390789,42.2853239066073,0.0
15.100320687127153,42.00413857179154,0.0
15.33626319786352,41.722953236975776,0.0
15.57220570859988,41.44176790216002,0.0
15.808148219336237,41.16058256734427,0.0
16.044090730072597,40.879397232528525,0.0
16.28003324080896,40.59821189771276,0.0
16.515975751545326,40.317026562897,0.0
16.751918262281688,40.03584122808124,0.0
16.98786077301805,39.75465589326547,0.0
17.22380328375441,39.473470558449726,0.0
17.45974579449077,39.19228522363397,0.0
17.695688305227133,38.91109988881822,0.0
17.931630815963494,38.629914554002454,0.0
18.16757332669986,38.348729219186694,0.0
18.40351583743622,38.067543884370934,0.0
18.63945834817258,37.78635854955518,0.0
18.875400858908943,37.50517321473942,0.0
19.111343369645304,37.223987879923676,0.0
19.347285880381666,36.94280254510792,0.0
19.583228391118027,36.66161721029215,0.0
19.819170901854392,36.38043187547639,0.0
20.055113412590753,36.099246540660644,0.0
20.291055923327114,35.818061205844884,0.0
20.526998434063472,35.53687587102913,0.0
20.762940944799837,35.25569053621337,0.0
20.9988834555362,34.97450520139761,0.0
21.23482596627256,34.693319866581845,0.0
21.470768477008924,34.4121345317661,0.0
21.706710987745286,34.13094919695034,0.0
21.942653498481643,33.84976386213459,0.0
22.17859600921801,33.56857852731883,0.0
22.41453851995437,33.28739319250307,0.0
22.65048103069073,33.006207857687315,0.0
22.886423541427092,32.725022522871555,0.0
23.122366052163457,32.443837188055795,0.0
